Price,Close,High,Low,Open,Volume,Name
Ticker,BAC,BAC,BAC,BAC,BAC,
Date,,,,,,
2013-01-02,9.667465209960938,9.763898688314406,9.562995416815056,9.683537839545762,236021400,CFG
2013-01-03,9.611207962036133,9.683533227954044,9.546919007083499,9.651388750477727,157149700,CFG
2013-01-04,9.7317533493042,9.7317533493042,9.587103527544617,9.619248017533979,132601900,CFG
2013-01-07,9.715679168701172,9.804076303478267,9.643353891890408,9.763895508985074,201403500,CFG
2013-01-08,9.627284049987793,9.723718291196553,9.554959518658922,9.715681976698301,168461100,CFG
2013-01-09,9.185296058654785,9.643355184684076,9.10493445889508,9.538885411550462,335692000,CFG
2013-01-10,9.466560363769531,9.490669304136425,9.273693439144573,9.329946100563928,199964900,CFG
2013-01-11,9.346017837524414,9.41834311896804,9.249584384394566,9.402270493587253,146136700,CFG
2013-01-14,9.217442512512207,9.34602048646145,9.145117210569463,9.329947856525207,110032900,CFG
2013-01-15,9.281729698181152,9.337982359270695,9.080826461278466,9.145115435776523,126058300,CFG
2013-01-16,9.466560363769531,9.474596677225163,9.21744077772522,9.305837926582067,164579300,CFG
2013-01-17,9.064753532409668,9.402271020470375,8.976356387016628,9.394234707329643,323622200,CFG
2013-01-18,8.95224666595459,9.104932757300961,8.855813224096114,9.048680107813066,179971800,CFG
2013-01-22,9.12100601196289,9.12904155788516,8.91206649028546,8.93617466082211,137242700,CFG
2013-01-23,9.177262306213379,9.193334170818984,9.024575377341375,9.14511781061694,121638200,CFG
2013-01-24,9.265656471252441,9.37816255252984,9.177259328639114,9.201367500918208,127870800,CFG
2013-01-25,9.337980270385742,9.418341853724124,9.249583141821406,9.394232918891696,100171600,CFG
2013-01-28,9.225478172302246,9.378165092996396,9.185298129747647,9.354056914186598,91304200,CFG
2013-01-29,9.233511924743652,9.305837207485425,9.161186642001878,9.177259267671149,96824100,CFG
2013-01-30,9.145112037658691,9.273689938878151,9.121003872776228,9.233509153150884,89130200,CFG
2013-01-31,9.09689712524414,9.129041608265378,9.016536300883514,9.09689712524414,97024700,CFG
2013-02-01,9.410305976867676,9.426377834446955,9.137077500555899,9.16922198209935,161141300,CFG
2013-02-04,9.225478172302246,9.3942369567412,9.209406308557444,9.30583979018182,139733000,CFG
2013-02-05,9.546923637390137,9.627284486863951,9.28976769285766,9.313875871061288,187785900,CFG
2013-02-06,9.587102890014648,9.619247377866444,9.42637968437063,9.42637968437063,173626800,CFG
2013-02-07,9.514779090881348,9.627284432789805,9.426381160655943,9.619248884357175,173209900,CFG
2013-02-08,9.45048713684082,9.562992443412904,9.418342654050951,9.530847960623035,145321100,CFG
2013-02-11,9.530851364135742,9.562995858404566,9.378165207955133,9.42638156616577,103510800,CFG
2013-02-12,9.844259262084961,9.916584554795362,9.46656093703347,9.538886229743872,232173900,CFG
2013-02-13,9.779969215393066,9.980872443702069,9.683535757770944,9.924619785018747,192742500,CFG
2013-02-14,9.74782657623291,9.860332681298694,9.699609455094675,9.715682084269133,144104800,CFG
2013-02-15,9.667465209960938,9.812115810683721,9.619248853976783,9.812115810683721,158242700,CFG
2013-02-19,9.796041488647461,9.892475716725254,9.691572479935736,9.723716967166657,170783400,CFG
2013-02-20,9.48263168334961,9.8764017917677,9.442450887996046,9.7880046550978,193466400,CFG
2013-02-21,9.177262306213379,9.426381955489473,9.121009630515918,9.426381955489473,235532400,CFG
