Price,Close,High,Low,Open,Volume,Name
Ticker,BIO,BIO,BIO,BIO,BIO,
Date,,,,,,
2013-01-02,107.45999908447266,107.61000061035156,106.0999984741211,106.47000122070312,58600,COST
2013-01-03,107.5199966430664,108.0,106.94000244140625,107.12999725341797,53400,COST
2013-01-04,108.61000061035156,108.79000091552734,107.0199966430664,108.0,61700,COST
2013-01-07,109.06999969482422,109.2699966430664,108.22000122070312,108.41000366210938,43100,COST
2013-01-08,109.31999969482422,109.48999786376953,108.43000030517578,108.43000030517578,45700,COST
2013-01-09,110.76000213623047,110.93000030517578,108.7300033569336,109.2699966430664,74800,COST
2013-01-10,110.94999694824219,111.31999969482422,109.44999694824219,109.87999725341797,31500,COST
2013-01-11,110.8499984741211,111.77999877929688,110.08000183105469,110.72000122070312,20100,COST
2013-01-14,111.37000274658203,112.0,111.0,111.0,30900,COST
2013-01-15,111.69999694824219,111.94999694824219,111.0,111.0,34500,COST
2013-01-16,110.62999725341797,111.6500015258789,109.76000213623047,111.6500015258789,33200,COST
2013-01-17,114.43000030517578,115.0,111.37999725341797,111.37999725341797,150700,COST
2013-01-18,113.69999694824219,114.93000030517578,113.5999984741211,114.69000244140625,46900,COST
2013-01-22,114.62999725341797,114.6500015258789,113.41000366210938,113.41000366210938,38000,COST
2013-01-23,113.70999908447266,114.97000122070312,113.69999694824219,114.70999908447266,55400,COST
2013-01-24,114.83000183105469,115.33000183105469,112.98999786376953,113.19999694824219,62200,COST
2013-01-25,115.51000213623047,116.4800033569336,114.63999938964844,116.36000061035156,74000,COST
2013-01-28,114.75,115.69999694824219,114.16999816894531,115.51000213623047,54600,COST
2013-01-29,115.26000213623047,116.0,114.05000305175781,114.75,57800,COST
2013-01-30,115.08999633789062,115.81999969482422,114.70999908447266,115.1500015258789,22400,COST
2013-01-31,113.79000091552734,114.62999725341797,113.22000122070312,114.62999725341797,69600,COST
2013-02-01,116.4800033569336,116.77999877929688,114.58999633789062,114.58999633789062,39700,COST
2013-02-04,114.69999694824219,116.16999816894531,114.1500015258789,116.08000183105469,33200,COST
2013-02-05,114.68000030517578,115.38999938964844,113.69000244140625,114.88999938964844,22200,COST
2013-02-06,115.94999694824219,116.04000091552734,113.8499984741211,113.8499984741211,61200,COST
2013-02-07,115.72000122070312,115.91999816894531,114.61000061035156,115.01000213623047,94300,COST
2013-02-08,116.4800033569336,116.4800033569336,115.52999877929688,115.56999969482422,116200,COST
2013-02-11,116.37999725341797,116.77999877929688,115.41999816894531,116.62000274658203,61500,COST
2013-02-12,116.51000213623047,116.63999938964844,115.25,115.68000030517578,66300,COST
2013-02-13,117.0999984741211,117.0999984741211,116.2300033569336,116.2300033569336,84000,COST
2013-02-14,117.05000305175781,117.27999877929688,116.23999786376953,116.30999755859375,28700,COST
2013-02-15,117.18000030517578,117.20999908447266,116.33999633789062,116.75,53300,COST
2013-02-19,118.43000030517578,118.7300033569336,116.75,116.75,53600,COST
2013-02-20,117.08000183105469,118.29000091552734,116.8499984741211,117.75,49300,COST
2013-02-21,116.41999816894531,117.36000061035156,116.2699966430664,116.51000213623047,32500,COST
2013-02-22,116.97000122070312,117.20999908447266,115.4800033569336,116.5,108700,COST
2013-02-25,117.30000305175781,118.58000183105469,116.16999816894531,116.91999816894531,112000,COST
2013-02-26,117.30000305175781,118.44999694824219,116.63999938964844,118.44999694824219,124000,COST
2013-02-27,123.55000305175781,123.94999694824219,117.4800033569336,117.4800033569336,271100,COST
2013-02-28,123.19999694824219,124.18000030517578,122.94000244140625,123.38999938964844,201400,COST
2013-03-01,123.08999633789062,123.33000183105469,121.5999984741211,122.79000091552734,97700,COST
2013-03-04,121.91000366210938,122.83000183105469,120.72000122070312,122.44000244140625,138200,COST
2013-03-05,122.51000213623047,122.79000091552734,120.45999908447266,121.30000305175781,95100,COST
2013-03-06,122.7699966430664,126.48999786376953,121.47000122070312,124.76000213623047,94200,COST
2013-03-07,122.4800033569336,123.0,121.87999725341797,123.0,45200,COST
2013-03-08,123.55000305175781,123.55000305175781,122.19000244140625,122.9000015258789,65400,COST
2013-03-11,123.7300033569336,123.76000213623047,122.2300033569336,122.9000015258789,57200,COST
2013-03-12,122.94000244140625,123.4800033569336,122.54000091552734,123.4800033569336,56800,COST
2013-03-13,122.86000061035156,123.0999984741211,122.38999938964844,122.87999725341797,60900,COST
2013-03-14,123.05999755859375,123.31999969482422,122.2699966430664,123.31999969482422,44400,COST
2013-03-15,122.97000122070312,123.4800033569336,122.06999969482422,122.48999786376953,109400,COST
2013-03-18,122.05000305175781,122.5,121.30000305175781,122.3499984741211,53600,COST
2013-03-19,123.3499984741211,124.23999786376953,122.02999877929688,122.02999877929688,94700,COST
2013-03-20,124.4000015258789,124.4800033569336,122.73999786376953,123.5,103500,COST
2013-03-21,123.8499984741211,124.30999755859375,122.88999938964844,123.55999755859375,60400,COST
2013-03-22,123.83999633789062,124.41999816894531,122.69000244140625,123.66000366210938,85500,COST
2013-03-25,122.69000244140625,123.87999725341797,121.76000213623047,123.87999725341797,71600,COST
2013-03-26,124.87000274658203,124.87000274658203,122.66999816894531,122.80000305175781,44900,COST
2013-03-27,125.0,125.19999694824219,123.31999969482422,124.76000213623047,70300,COST
2013-03-28,126.0,126.5,124.98999786376953,125.1500015258789,59500,COST
2013-04-01,125.18000030517578,127.16999816894531,123.5999984741211,127.16999816894531,108100,COST
2013-04-02,125.0199966430664,125.87999725341797,124.12000274658203,125.05999755859375,75700,COST
2013-04-03,124.56999969482422,125.68000030517578,124.0,125.22000122070312,110300,COST
2013-04-04,124.9000015258789,125.31999969482422,124.11000061035156,124.25,35900,COST
2013-04-05,123.3499984741211,123.66000366210938,122.13999938964844,122.94000244140625,30600,COST
2013-04-08,123.52999877929688,123.94000244140625,122.22000122070312,123.0999984741211,38900,COST
2013-04-09,123.37999725341797,124.73999786376953,122.77999877929688,124.0,22900,COST
2013-04-10,124.61000061035156,124.75,123.06999969482422,123.55999755859375,91900,COST
2013-04-11,124.58000183105469,125.0,123.18000030517578,124.55000305175781,66400,COST
2013-04-12,123.41000366210938,124.51000213623047,122.80999755859375,124.51000213623047,25700,COST
2013-04-15,121.08000183105469,124.18000030517578,120.55999755859375,123.13999938964844,62500,COST
2013-04-16,123.45999908447266,123.83000183105469,120.94000244140625,121.7300033569336,54800,COST
2013-04-17,121.44999694824219,122.30999755859375,120.66999816894531,122.25,38100,COST
2013-04-18,120.08000183105469,121.94999694824219,119.75,121.94999694824219,69600,COST
2013-04-19,120.88999938964844,121.7699966430664,119.58000183105469,120.33000183105469,50600,COST
2013-04-22,120.88999938964844,121.3499984741211,120.12999725341797,121.3499984741211,35800,COST
2013-04-23,121.0999984741211,121.93000030517578,120.08999633789062,121.16000366210938,32500,COST
2013-04-24,119.88999938964844,121.2699966430664,119.7300033569336,121.2699966430664,38600,COST
2013-04-25,120.63999938964844,120.94000244140625,119.55000305175781,120.2699966430664,55300,COST
2013-04-26,118.95999908447266,120.55999755859375,118.0199966430664,120.0,48800,COST
2013-04-29,120.0199966430664,120.12000274658203,118.45999908447266,118.95999908447266,44800,COST
2013-04-30,119.75,119.98999786376953,118.72000122070312,119.9800033569336,92000,COST
