Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume,Name
Ticker,CPRT,CTVA,CPRT,CTVA,CPRT,CTVA,CPRT,CTVA,CPRT,CTVA,
Date,,,,,,,,,,,
2013-01-02,3.807499885559082,,3.8125,,3.726249933242798,,3.75,,5041600,,HON
2013-01-03,3.7799999713897705,,3.831249952316284,,3.7725000381469727,,3.807499885559082,,3178400,,HON
2013-01-04,3.809999942779541,,3.8212499618530273,,3.759999990463257,,3.7825000286102295,,1979200,,HON
2013-01-07,3.853749990463257,,3.8687500953674316,,3.776249885559082,,3.8037500381469727,,3048000,,HON
2013-01-08,3.805000066757202,,3.862499952316284,,3.7950000762939453,,3.862499952316284,,2810400,,HON
2013-01-09,3.8575000762939453,,3.858750104904175,,3.802500009536743,,3.802500009536743,,3124000,,HON
2013-01-10,3.880000114440918,,3.8975000381469727,,3.8375000953674316,,3.884999990463257,,4805600,,HON
2013-01-11,3.958750009536743,,3.9749999046325684,,3.8975000381469727,,3.8975000381469727,,7457600,,HON
2013-01-14,3.984999895095825,,4.00124979019165,,3.961250066757202,,3.9625000953674316,,6514400,,HON
2013-01-15,3.9774999618530273,,3.9962499141693115,,3.9337499141693115,,3.9674999713897705,,5313600,,HON
2013-01-16,3.942500114440918,,3.9749999046325684,,3.932499885559082,,3.9749999046325684,,2332000,,HON
2013-01-17,3.961250066757202,,3.9862499237060547,,3.950000047683716,,3.9600000381469727,,2552000,,HON
2013-01-18,3.973750114440918,,3.981250047683716,,3.947499990463257,,3.9749999046325684,,1939200,,HON
2013-01-22,3.9987499713897705,,4.0,,3.966249942779541,,3.9800000190734863,,3191200,,HON
2013-01-23,4.03125,,4.03125,,3.9800000190734863,,4.0,,3792000,,HON
2013-01-24,4.043749809265137,,4.0625,,4.021249771118164,,4.027500152587891,,1984000,,HON
2013-01-25,4.125,,4.131249904632568,,4.042500019073486,,4.058750152587891,,6888000,,HON
2013-01-28,4.237500190734863,,4.238749980926514,,4.133749961853027,,4.133749961853027,,9351200,,HON
2013-01-29,4.247499942779541,,4.301249980926514,,4.221250057220459,,4.221250057220459,,7573600,,HON
2013-01-30,4.228750228881836,,4.34375,,4.213749885559082,,4.252500057220459,,8508800,,HON
2013-01-31,4.488749980926514,,4.683750152587891,,4.210000038146973,,4.228750228881836,,44289600,,HON
2013-02-01,4.474999904632568,,4.523749828338623,,4.412499904632568,,4.478750228881836,,10692800,,HON
2013-02-04,4.446249961853027,,4.451250076293945,,4.287499904632568,,4.40625,,12280800,,HON
2013-02-05,4.559999942779541,,4.568749904632568,,4.447500228881836,,4.46750020980835,,10034400,,HON
2013-02-06,4.572500228881836,,4.603750228881836,,4.545000076293945,,4.547500133514404,,5028000,,HON
2013-02-07,4.5,,4.616250038146973,,4.49875020980835,,4.583749771118164,,6807200,,HON
2013-02-08,4.5,,4.522500038146973,,4.480000019073486,,4.496250152587891,,6984000,,HON
2013-02-11,4.480000019073486,,4.539999961853027,,4.466249942779541,,4.506249904632568,,11128800,,HON
2013-02-12,4.453750133514404,,4.50124979019165,,4.402500152587891,,4.482500076293945,,9260000,,HON
2013-02-13,4.46750020980835,,4.488749980926514,,4.4375,,4.465000152587891,,6998400,,HON
2013-02-14,4.492499828338623,,4.525000095367432,,4.449999809265137,,4.449999809265137,,7251200,,HON
2013-02-15,4.539999961853027,,4.556250095367432,,4.488749980926514,,4.50124979019165,,8076000,,HON
2013-02-19,4.486249923706055,,4.578750133514404,,4.478750228881836,,4.559999942779541,,8077600,,HON
2013-02-20,4.368750095367432,,4.478750228881836,,4.358749866485596,,4.478750228881836,,11056800,,HON
2013-02-21,4.322500228881836,,4.385000228881836,,4.307499885559082,,4.372499942779541,,8251200,,HON
2013-02-22,4.302499771118164,,4.34499979019165,,4.277500152587891,,4.340000152587891,,5812000,,HON
2013-02-25,4.288750171661377,,4.324999809265137,,4.256249904632568,,4.307499885559082,,7996000,,HON
2013-02-26,4.318749904632568,,4.322500228881836,,4.275000095367432,,4.31125020980835,,5406400,,HON
2013-02-27,4.398749828338623,,4.426249980926514,,4.262499809265137,,4.315000057220459,,8157600,,HON
2013-02-28,4.267499923706055,,4.56374979019165,,4.1875,,4.297500133514404,,28113600,,HON
2013-03-01,4.25,,4.291250228881836,,4.222499847412109,,4.246250152587891,,9567200,,HON
2013-03-04,4.18625020980835,,4.287499904632568,,4.183750152587891,,4.25,,8901600,,HON
2013-03-05,4.170000076293945,,4.242499828338623,,4.161250114440918,,4.207499980926514,,7413600,,HON
2013-03-06,4.18874979019165,,4.207499980926514,,4.137499809265137,,4.175000190734863,,8202400,,HON
2013-03-07,4.018750190734863,,4.181250095367432,,3.984999895095825,,4.164999961853027,,22448800,,HON
2013-03-08,3.981250047683716,,4.056250095367432,,3.976249933242798,,4.043749809265137,,17817600,,HON
2013-03-11,4.042500019073486,,4.042500019073486,,3.9124999046325684,,3.981250047683716,,8024000,,HON
2013-03-12,4.026249885559082,,4.051249980926514,,3.984999895095825,,4.039999961853027,,5972000,,HON
2013-03-13,4.236249923706055,,4.236249923706055,,4.025000095367432,,4.03249979019165,,19032800,,HON
2013-03-14,4.264999866485596,,4.306250095367432,,4.230000019073486,,4.233749866485596,,10480800,,HON
2013-03-15,4.28125,,4.292500019073486,,4.24875020980835,,4.276249885559082,,10009600,,HON
2013-03-18,4.296249866485596,,4.337500095367432,,4.256249904632568,,4.332499980926514,,12524000,,HON
2013-03-19,4.338749885559082,,4.34250020980835,,4.272500038146973,,4.297500133514404,,9626400,,HON
2013-03-20,4.31374979019165,,4.369999885559082,,4.291250228881836,,4.347499847412109,,9620000,,HON
2013-03-21,4.228750228881836,,4.300000190734863,,4.21999979019165,,4.298749923706055,,6615200,,HON
2013-03-22,4.260000228881836,,4.266250133514404,,4.231249809265137,,4.231249809265137,,3965600,,HON
2013-03-25,4.266250133514404,,4.318749904632568,,4.252500057220459,,4.284999847412109,,4106400,,HON
2013-03-26,4.288750171661377,,4.308750152587891,,4.260000228881836,,4.289999961853027,,2550400,,HON
2013-03-27,4.273749828338623,,4.297500133514404,,4.233749866485596,,4.244999885559082,,8304800,,HON
2013-03-28,4.283750057220459,,4.302499771118164,,4.252500057220459,,4.28125,,4991200,,HON
2013-04-01,4.231249809265137,,4.293749809265137,,4.211249828338623,,4.276249885559082,,5312800,,HON
2013-04-02,4.198750019073486,,4.276249885559082,,4.1875,,4.247499942779541,,5709600,,HON
2013-04-03,4.137499809265137,,4.21875,,4.119999885559082,,4.213749885559082,,5852000,,HON
2013-04-04,4.173749923706055,,4.179999828338623,,4.09250020980835,,4.148749828338623,,6504800,,HON
2013-04-05,4.162499904632568,,4.177499771118164,,4.107500076293945,,4.128749847412109,,4169600,,HON
2013-04-08,4.173749923706055,,4.192500114440918,,4.141250133514404,,4.161250114440918,,3157600,,HON
2013-04-09,4.173749923706055,,4.207499980926514,,4.159999847412109,,4.173749923706055,,3172800,,HON
2013-04-10,4.262499809265137,,4.292500019073486,,4.181250095367432,,4.191249847412109,,6010400,,HON
2013-04-11,4.253749847412109,,4.298749923706055,,4.228750228881836,,4.264999866485596,,4918400,,HON
2013-04-12,4.221250057220459,,4.284999847412109,,4.193749904632568,,4.232500076293945,,7340800,,HON
2013-04-15,4.090000152587891,,4.21875,,4.043749809265137,,4.204999923706055,,8070400,,HON
2013-04-16,4.161250114440918,,4.170000076293945,,4.105000019073486,,4.119999885559082,,4952000,,HON
2013-04-17,4.058750152587891,,4.143750190734863,,4.047500133514404,,4.143750190734863,,5783200,,HON
2013-04-18,4.011250019073486,,4.081250190734863,,4.0,,4.074999809265137,,4932000,,HON
2013-04-19,4.102499961853027,,4.108749866485596,,4.005000114440918,,4.028749942779541,,3267200,,HON
2013-04-22,4.153749942779541,,4.158750057220459,,4.057499885559082,,4.098750114440918,,4727200,,HON
2013-04-23,4.266250133514404,,4.268750190734863,,4.15625,,4.166250228881836,,8326400,,HON
2013-04-24,4.263750076293945,,4.28125,,4.233749866485596,,4.261250019073486,,4297600,,HON
2013-04-25,4.317500114440918,,4.327499866485596,,4.263750076293945,,4.268750190734863,,6532000,,HON
2013-04-26,4.323750019073486,,4.337500095367432,,4.287499904632568,,4.326250076293945,,2497600,,HON
2013-04-29,4.366250038146973,,4.375,,4.301249980926514,,4.323750019073486,,5732800,,HON
2013-04-30,4.40625,,4.409999847412109,,4.316249847412109,,4.362500190734863,,8405600,,HON
2013-05-01,4.417500019073486,,4.43625020980835,,4.380000114440918,,4.382500171661377,,9060000,,HON
2013-05-02,4.417500019073486,,4.46750020980835,,4.409999847412109,,4.420000076293945,,9508000,,HON
2013-05-03,4.423749923706055,,4.494999885559082,,4.416250228881836,,4.43625020980835,,7396800,,HON
2013-05-06,4.425000190734863,,4.433750152587891,,4.389999866485596,,4.422500133514404,,5421600,,HON
2013-05-07,4.427499771118164,,4.4375,,4.394999980926514,,4.426249980926514,,4937600,,HON
2013-05-08,4.396249771118164,,4.427499771118164,,4.386250019073486,,4.422500133514404,,3708800,,HON
2013-05-09,4.432499885559082,,4.432499885559082,,4.397500038146973,,4.401249885559082,,5896800,,HON
2013-05-10,4.497499942779541,,4.554999828338623,,4.428750038146973,,4.441249847412109,,7589600,,HON
2013-05-13,4.548749923706055,,4.552499771118164,,4.489999771118164,,4.502500057220459,,3899200,,HON
2013-05-14,4.613749980926514,,4.661250114440918,,4.526249885559082,,4.543749809265137,,10358400,,HON
2013-05-15,4.625,,4.632500171661377,,4.59250020980835,,4.599999904632568,,7070400,,HON
2013-05-16,4.585000038146973,,4.679999828338623,,4.582499980926514,,4.633749961853027,,6398400,,HON
2013-05-17,4.761250019073486,,4.78249979019165,,4.599999904632568,,4.614999771118164,,12122400,,HON
2013-05-20,4.647500038146973,,4.737500190734863,,4.637499809265137,,4.711249828338623,,6860000,,HON
2013-05-21,4.630000114440918,,4.650000095367432,,4.603750228881836,,4.639999866485596,,5859200,,HON
2013-05-22,4.576250076293945,,4.647500038146973,,4.553750038146973,,4.642499923706055,,13374400,,HON
2013-05-23,4.602499961853027,,4.632500171661377,,4.527500152587891,,4.56125020980835,,5544800,,HON
2013-05-24,4.608749866485596,,4.625,,4.547500133514404,,4.570000171661377,,3051200,,HON
2013-05-28,4.668749809265137,,4.692500114440918,,4.639999866485596,,4.647500038146973,,3765600,,HON
2013-05-29,4.612500190734863,,4.664999961853027,,4.590000152587891,,4.637499809265137,,3584000,,HON
2013-05-30,4.590000152587891,,4.650000095367432,,4.53125,,4.606249809265137,,8134400,,HON
2013-05-31,4.298749923706055,,4.625,,4.292500019073486,,4.433750152587891,,31168800,,HON
