Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume,Name
Ticker,GNRC,IT,GNRC,IT,GNRC,IT,GNRC,IT,GNRC,IT,
Date,,,,,,,,,,,
2013-01-02,30.89997673034668,47.41999816894531,31.286225225574178,47.4900016784668,30.496171028695926,46.52000045776367,30.654179189115798,46.869998931884766,614000,1496900,LUV
2013-01-03,30.399608612060547,48.70000076293945,31.101880138092334,49.70000076293945,30.215259615662696,47.38999938964844,30.90875421267305,47.400001525878906,394300,1525900,LUV
2013-01-04,30.469833374023438,48.70000076293945,30.733184771507574,49.04999923706055,30.364493484768722,48.459999084472656,30.662959294902667,48.880001068115234,156300,341000,LUV
2013-01-07,30.43471908569336,48.560001373291016,30.6015108721139,49.029998779296875,29.785119192491983,48.47999954223633,30.311821989611733,48.63999938964844,319400,610300,LUV
2013-01-08,30.408384323120117,49.040000915527344,30.46105594122336,49.15999984741211,29.908015671570553,48.47999954223633,30.2152584054362,48.540000915527344,225000,682600,LUV
2013-01-09,30.496170043945312,49.20000076293945,30.636624342101246,49.29999923706055,30.232815304795153,48.939998626708984,30.60150993038861,49.08000183105469,332700,411600,LUV
2013-01-10,30.355716705322266,49.599998474121094,30.987759392655292,49.63999938964844,29.95190765525192,49.220001220703125,30.724407993875303,49.5,363500,370200,LUV
2013-01-11,30.97020149230957,49.90999984741211,31.11065579175812,50.119998931884766,30.294264129746352,49.540000915527344,30.434718429194902,49.689998626708984,451000,317400,LUV
2013-01-14,30.935091018676758,50.31999969482422,31.12821359116581,50.349998474121094,30.733184819969352,49.56999969482422,30.970202082687226,49.650001525878906,356400,1306200,LUV
2013-01-15,31.751480102539062,50.20000076293945,32.04116899120289,50.34000015258789,30.76829996427916,49.5099983215332,30.84730572039704,49.95000076293945,734300,550900,LUV
2013-01-16,31.716367721557617,49.7400016784668,31.760259062314017,50.16999816894531,31.233556275847953,49.540000915527344,31.61102448530869,50.16999816894531,293800,344100,LUV
2013-01-17,32.02360916137695,49.599998474121094,32.19917786600193,50.0,31.593469351174992,49.40999984741211,31.91826927807977,49.959999084472656,311400,597100,LUV
2013-01-18,31.944604873657227,49.970001220703125,32.08505917404612,50.0,31.488127560219663,49.400001525878906,31.988496214648507,49.70000076293945,199200,216400,LUV
2013-01-22,32.164066314697266,49.9900016784668,32.33963503493016,50.0099983215332,31.777817809140746,49.63999938964844,31.89193797959635,49.900001525878906,266200,188300,LUV
2013-01-23,32.550315856933594,49.95000076293945,32.67321294775893,50.13999938964844,31.795372757641335,49.88999938964844,32.12894961882593,50.0,321600,450300,LUV
2013-01-24,32.3571891784668,51.5,32.611763631268396,51.599998474121094,31.988494566013706,49.54999923706055,32.60298335430586,49.79999923706055,361200,1014200,LUV
2013-01-25,32.269405364990234,52.83000183105469,32.480088493508944,53.439998626708984,32.02361117229734,51.369998931884766,32.38352553246681,51.540000915527344,365700,1744200,LUV
2013-01-28,32.0762825012207,52.369998931884766,32.40985937437133,53.290000915527344,31.45301674756618,52.11000061035156,32.40985937437133,52.7599983215332,422800,845400,LUV
2013-01-29,32.471309661865234,52.22999954223633,32.523977929387584,52.66999816894531,31.760257912062805,52.09000015258789,32.13772945654742,52.31999969482422,240100,467800,LUV
2013-01-30,31.962162017822266,51.709999084472656,32.48008787738237,52.380001068115234,31.78659330550289,51.65999984741211,32.3571907833672,52.33000183105469,276200,417800,LUV
2013-01-31,32.638099670410156,51.5099983215332,32.708325146738225,52.04999923706055,31.17210476065967,50.91999816894531,31.856822409852786,51.56999969482422,429100,633200,LUV
2013-02-01,33.13846969604492,52.41999816894531,33.42815858817857,52.63999938964844,32.49764671038862,51.599998474121094,32.67321543149737,51.84000015258789,371400,324000,LUV
2013-02-04,32.673213958740234,51.86000061035156,33.13846820231628,52.86000061035156,32.286962119972486,51.630001068115234,33.068239377560445,52.0,291600,397200,LUV
2013-02-05,33.8846321105957,52.84000015258789,34.03386669353649,52.95000076293945,32.831226495766856,52.189998626708984,32.85756063152915,52.369998931884766,787500,349000,LUV
