Price,Close,High,Low,Open,Volume,Name
Ticker,EA,EA,EA,EA,EA,
Date,,,,,,
2013-01-02,14.21461296081543,14.5858538186185,14.04853149991165,14.429542074636467,6881000,NLOK
2013-01-03,14.40023136138916,14.468618440729646,14.17553348671847,14.195071986750476,3664600,NLOK
2013-01-04,14.537003517150879,14.605389659760622,14.36115237136432,14.419769730523612,3348500,NLOK
2013-01-07,14.116915702819824,14.263458641306867,13.93129576543253,13.93129576543253,3863300,NLOK
2013-01-08,13.452592849731445,13.970375738700627,13.452592849731445,13.911758368396807,5110000,NLOK
2013-01-09,13.384204864501953,13.530747814584407,13.257201347107067,13.462360731869357,3892500,NLOK
2013-01-10,13.677289009094238,13.687058724849521,13.433051705360413,13.481899352445453,3207900,NLOK
2013-01-11,13.911755561828613,13.999681133700424,12.983654063043083,13.384203062289059,6496800,NLOK
2013-01-14,14.09737777709961,14.165763925495236,13.82383132013431,13.901987184498283,4188700,NLOK
2013-01-15,14.27322769165039,14.28299740740352,13.843370447117794,13.970373956834358,2535400,NLOK
2013-01-16,14.263459205627441,14.429540650135468,14.077838329204873,14.25368948967017,2529900,NLOK
2013-01-17,14.175529479980469,14.458844638050428,14.136451559270514,14.322071449720022,3157400,NLOK
2013-01-18,14.126687049865723,14.380694093891833,14.06806968136298,14.20484292007507,3183700,NLOK
2013-01-22,14.09737777709961,14.155994209526892,13.98014398055365,14.12668599331325,3284800,NLOK
2013-01-23,13.726137161254883,14.27322822000259,13.667519796257638,14.185303570043837,4998500,NLOK
2013-01-24,13.931296348571777,14.028990713294428,13.69682875520774,13.726136971455395,4638500,NLOK
2013-01-25,14.429540634155273,14.57608264658647,13.980143949223843,13.980143949223843,3966000,NLOK
2013-01-28,14.693316459655762,14.751933823710042,14.312305922531426,14.634699095601482,8397100,NLOK
2013-01-29,14.605390548706055,14.830089352186251,14.478387039207053,14.830089352186251,5391600,NLOK
2013-01-30,14.732394218444824,15.12317353523724,14.595620991721788,14.595620991721788,8508700,NLOK
2013-01-31,15.367412567138672,15.807040512520963,14.282999142475825,14.292768859415762,12537800,NLOK
2013-02-01,15.816808700561523,15.875425133152133,15.08409583964772,15.259947000802343,9353700,NLOK
2013-02-04,15.631187438964844,15.816808311549721,15.57257007612452,15.640957154720127,3720200,NLOK
2013-02-05,16.500675201416016,16.852377590900016,15.787502567969595,15.875428165340594,11244000,NLOK
2013-02-06,16.49090003967285,16.783985888618744,16.41274418596379,16.783985888618744,5423900,NLOK
2013-02-07,16.48113250732422,16.637444217766934,16.334588648324424,16.520209503243613,3101000,NLOK
2013-02-08,16.9696102142334,17.10638252038082,16.47136584606119,16.656984872008998,4846300,NLOK
2013-02-11,17.008686065673828,17.194306942435453,16.73513960851895,16.901221053330342,4414900,NLOK
2013-02-12,17.135692596435547,17.184539318875988,16.881685540302616,16.979378985183498,4443500,NLOK
2013-02-13,16.774219512939453,17.145459426108257,16.666754493929815,16.989147687575823,5300200,NLOK
2013-02-14,16.754680633544922,16.95984096176392,16.5885991729421,16.735141199736834,5668200,NLOK
2013-02-15,16.578826904296875,16.78398720093849,16.442054615457586,16.754678054737493,5481100,NLOK
2013-02-19,17.184537887573242,17.340849622423047,16.608137666546018,16.656984384918008,4936300,NLOK
2013-02-20,17.077075958251953,17.340852757264564,17.047768667283798,17.10638511260331,5319900,NLOK
2013-02-21,17.233381271362305,17.506927686110874,16.76444615754976,17.24315098582288,10889900,NLOK
2013-02-22,17.399465560913086,17.458083857347116,17.26269326266597,17.26269326266597,3526200,NLOK
2013-02-25,17.29200553894043,17.61439877411605,17.282235821100787,17.428777861929134,5689900,NLOK
2013-02-26,17.28223419189453,17.409236785070984,17.047766575995947,17.35062034694208,4560000,NLOK
2013-02-27,17.702320098876953,17.780475959348216,17.008685206734622,17.243152788148414,5373400,NLOK
2013-02-28,17.12592315673828,17.585088690619905,17.116153439415303,17.184539597293092,7160500,NLOK
2013-03-01,17.62416648864746,17.66324349218107,17.01845709512157,17.12592211575913,5916800,NLOK
2013-03-04,17.780479431152344,17.878172878279955,17.516702651788442,17.555779657962876,4846700,NLOK
2013-03-05,18.083332061767578,18.464341698704,17.878171736459773,17.91725060352143,4899100,NLOK
2013-03-06,18.190793991088867,18.435031278564708,18.02471256106999,18.20056184281119,3182600,NLOK
2013-03-07,18.278718948364258,18.503418684355633,18.014944076050234,18.13217693854919,4026400,NLOK
2013-03-08,18.151718139648438,18.386185750886625,18.054022835786792,18.317799597198356,3831300,NLOK
2013-03-11,18.689037322998047,19.060279061437313,18.151716009878182,18.151716009878182,7736200,NLOK
2013-03-12,18.806270599365234,18.806270599365234,18.55226360402764,18.620649744429574,3948000,NLOK
2013-03-13,18.503419876098633,18.708578330376746,18.356877856845287,18.601115176728488,5548100,NLOK
2013-03-14,18.89419937133789,18.913738804301868,18.513189745454735,18.630422616472835,3483500,NLOK
2013-03-15,18.444801330566406,18.894198962089536,18.435033477678875,18.884429245819156,5657900,NLOK
2013-03-18,18.278718948364258,18.337337242996487,17.99540464450616,18.268951095974973,5077800,NLOK
2013-03-19,16.754680633544922,18.41549523957313,16.539752451804848,18.27872106629947,20063900,NLOK
2013-03-20,16.94029998779297,17.008686136520843,16.6862929615303,16.7839882583056,5450700,NLOK
2013-03-21,17.29200553894043,17.57531990275748,17.13569378027244,17.174770788247862,5885400,NLOK
2013-03-22,17.55577278137207,17.614391062747547,17.272458541586584,17.272458541586584,4712400,NLOK
2013-03-25,17.155229568481445,17.721860100570993,17.106382847746275,17.702322530306695,4829200,NLOK
2013-03-26,17.360389709472656,17.731629627887997,17.282233839101902,17.692552624394086,4608200,NLOK
2013-03-27,17.37993049621582,17.419007502752496,17.067305127007007,17.350621343776,2673600,NLOK
2013-03-28,17.29200553894043,17.32131282907621,16.989149876060946,17.22361751406293,6487400,NLOK
2013-04-01,17.506929397583008,17.60462468835691,17.20407567322833,17.20407567322833,4288600,NLOK
2013-04-02,17.145458221435547,17.526469687797803,17.02822535746468,17.340848812564026,3959800,NLOK
2013-04-03,16.84260368347168,17.184536270039004,16.7937569696975,17.14545740831351,4527900,NLOK
2013-04-04,16.852375030517578,16.989147333033465,16.71560272800169,16.940300614530038,4305700,NLOK
2013-04-05,16.9500675201416,16.96960694965597,16.608134957170407,16.74490723700586,2580200,NLOK
2013-04-08,16.871917724609375,16.979380898766088,16.58860148505252,16.930534170820604,2726300,NLOK
2013-04-09,17.047765731811523,17.10638216703781,16.84260541344519,16.959840147280648,1778500,NLOK
2013-04-10,17.389699935913086,17.42877880939607,16.88168762431702,17.008690236370224,3976300,NLOK
2013-04-11,17.22361183166504,17.54600496047702,17.19430455119829,17.54600496047702,3190300,NLOK
2013-04-12,17.17477035522461,17.204079508004572,16.9403027231342,17.125923630641104,2168800,NLOK
2013-04-15,16.520212173461914,17.194307698316596,16.51044245705731,17.09661239765343,4218000,NLOK
2013-04-16,16.9696102142334,17.067303653834173,16.48113556269785,16.705833455192302,4366000,NLOK
2013-04-17,16.617908477783203,16.910992534090983,16.45182701564,16.754680788942434,4159700,NLOK
2013-04-18,16.54952049255371,16.705832220421048,16.363899616942707,16.62767635648738,2282400,NLOK
2013-04-19,16.696060180664062,16.754676604610086,16.26620205716733,16.490899901779194,2654300,NLOK
2013-04-22,16.881685256958008,16.96961084658146,16.373671153218726,16.705834077711103,3144600,NLOK
2013-04-23,17.01845932006836,17.18454079941084,16.744912806038634,16.891456712751488,2200300,NLOK
2013-04-24,17.389699935913086,17.44831824613756,17.018459954740973,17.028229673111717,2525900,NLOK
2013-04-25,17.526466369628906,17.64369921140486,17.37992438571775,17.448310520650793,3347300,NLOK
2013-04-26,17.467851638793945,17.70232109680816,17.448314070111763,17.54600750367108,3222300,NLOK
2013-04-29,17.360389709472656,17.585087603865702,17.301771409157393,17.477622583337318,2157400,NLOK
2013-04-30,17.204078674316406,17.379929855708458,16.959841336468113,17.360390421468672,2409300,NLOK
2013-05-01,16.901220321655273,17.243152912450483,16.764448030690275,17.184536482520155,2412100,NLOK
2013-05-02,17.135692596435547,17.135692596435547,16.75468108054464,16.98914870234819,2373200,NLOK
2013-05-03,17.54600715637207,17.712088598871482,17.272462566407928,17.282232282247044,6220600,NLOK
2013-05-06,17.86840057373047,17.887938140259866,17.21384457873942,17.26269129013681,4307500,NLOK
2013-05-07,17.985637664794922,18.415495907242924,17.633935297029918,18.415495907242924,8074800,NLOK
2013-05-08,21.063024520874023,21.18025924637999,19.343593681543915,19.343593681543915,22314500,NLOK
2013-05-09,21.14118194580078,21.385419267220414,20.467088280318276,20.555013865099973,11145700,NLOK
2013-05-10,21.961816787719727,22.049742361663284,20.955560340072015,21.0044070529817,9168300,NLOK
2013-05-13,21.23887062072754,21.96181264297294,20.95555638523111,21.756654251411625,7215100,NLOK
2013-05-14,21.8934326171875,21.912972049465203,21.277955407502418,21.2974929763973,4407600,NLOK
2013-05-15,22.118127822875977,22.313518395253382,21.512420402594692,21.531959832508953,4810200,NLOK
2013-05-16,21.512426376342773,22.176752270842336,21.49288694100264,22.07905695752479,4394200,NLOK
2013-05-17,21.698041915893555,21.834816077791004,21.004408843846107,21.248646155983852,5621100,NLOK
2013-05-20,21.2877254486084,21.815277084479956,21.268186016032416,21.492883900507657,4693500,NLOK
2013-05-21,21.463577270507812,22.0692867077665,21.08256760747692,21.131414331266445,6469900,NLOK
2013-05-22,21.24864387512207,22.245132448891347,21.180257733205426,21.619883729833557,6620500,NLOK
2013-05-23,22.127901077270508,22.176749659869664,21.004409764850436,21.092335350146023,5805900,NLOK
2013-05-24,22.245132446289062,22.450290872015,21.74688815946271,21.756657874504317,6061000,NLOK
2013-05-28,22.723838806152344,22.987615539576044,22.24513391774418,22.46006207272864,6106400,NLOK
2013-05-29,22.626144409179688,22.938767870047077,22.430753814446163,22.704300274396534,4520900,NLOK
2013-05-30,22.811765670776367,22.99738655255093,22.49914220466101,22.50891192089997,3288300,NLOK
2013-05-31,22.460067749023438,23.05600751291389,22.460067749023438,22.65545838539568,4526000,NLOK
2013-06-03,22.460067749023438,22.577302503523423,21.991132457789902,22.479607185337304,3861700,NLOK
2013-06-04,22.196285247802734,22.596834272439615,22.02043595629459,22.323289687838464,4815400,NLOK
2013-06-05,22.352596282958984,22.46983100373642,22.04974256074273,22.23536342556422,3446800,NLOK
2013-06-06,22.743383407592773,22.743383407592773,22.186520667094836,22.303755418616284,3556000,NLOK
2013-06-07,23.065773010253906,23.114619728716878,22.694531241756998,22.95830799357593,3476200,NLOK
2013-06-10,22.34283447265625,23.11462355991416,22.274446446736913,23.056007115366477,3780500,NLOK
2013-06-11,22.079051971435547,22.772684998919768,22.020435542035553,22.215824261163096,3851900,NLOK
2013-06-12,21.043487548828125,22.38190696571138,20.936022536018957,22.264674100267563,6643000,NLOK
2013-06-13,20.994640350341797,21.150952090141875,20.467088694362257,21.03371921698328,7727700,NLOK
2013-06-14,21.307260513305664,21.522190519612483,20.955560085191777,20.994637082367706,3587900,NLOK
2013-06-17,21.91297149658203,22.225594951606237,21.336571302612608,21.336571302612608,4715600,NLOK
2013-06-18,22.499141693115234,22.557758125833438,21.903202059767978,21.903202059767978,4485600,NLOK
2013-06-19,22.313518524169922,22.674988662759144,22.303748809156346,22.430751377567603,3879100,NLOK
2013-06-20,21.639423370361328,22.24513266522411,21.629653655223567,22.08882094978519,3922900,NLOK
2013-06-21,21.47334861755371,22.137674546452107,21.248650689656667,21.63943009977831,5704300,NLOK
