Price,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Name
Ticker,IBM,IFF,INTU,IP,IPG,IPGP,IBM,IFF,INTU,IP,IPG,IPGP,IBM,IFF,INTU,IP,IPG,IPGP,IBM,IFF,INTU,IP,IPG,IPGP,IBM,IFF,INTU,IP,IPG,IPGP,
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-02,116.79901885986328,51.97748565673828,55.71686553955078,23.36651039123535,7.790942668914795,68.13999938964844,116.79901885986328,52.144787932507775,55.71686553955078,23.453073801150342,7.790942668914795,68.94000244140625,115.28215317052724,51.33109524732801,54.07998616861124,23.054880229731026,7.543079567665426,66.69000244140625,115.45465395422818,51.38432726217699,54.07998616861124,23.158757735986782,7.549778725801948,68.75,4428869,310800,3526500,4776553,13303700,555000,WHR
2013-01-03,116.1566162109375,51.78733825683594,55.52801513671875,23.297260284423828,7.945017337799072,67.72000122070312,116.76336456500418,52.28924477175895,55.77084599637976,23.424220117973263,8.025405297234133,68.81999969482422,115.66288728207947,51.58961698109194,55.32115362816523,23.054881777484965,7.81773656174357,67.54000091552734,116.39455134325891,52.083917269526495,55.438074604547545,23.29148970434382,7.898124521178631,68.0,3812356,270700,2559000,4217711,11553200,288800,WHR
2013-01-04,115.39522552490234,51.886226654052734,55.959712982177734,23.574262619018555,7.878030300140381,64.37999725341797,115.67480243662148,52.0611293341263,56.09461861864557,23.59734729463334,7.93832144940102,66.6500015258789,114.67545762819503,51.696111513714044,55.528008769896495,23.170298475231597,7.764147160174046,62.310001373291016,115.51419785759336,51.86340796365503,55.76184726496879,23.291487718367684,7.93832144940102,66.25,3535689,358300,1898200,3504248,5211100,2273800,WHR
2013-01-07,114.88961029052734,51.81776809692383,56.022666931152344,23.53963851928711,7.88472843170166,64.5199966430664,115.27031988962256,51.91662585435247,56.21153687162984,23.620433711262653,7.95841724960722,64.73999786376953,114.41373041233965,51.57442101553236,55.59995507599611,23.354970529808938,7.777543825384246,63.59000015258789,115.0442714882944,51.62004678021449,55.59995507599611,23.412678687205098,7.824437290294002,64.62999725341797,2993966,304600,1422500,2661112,5865200,644700,WHR
2013-01-08,114.72895050048828,51.855812072753906,55.571754455566406,23.320348739624023,7.777540683746338,65.4800033569336,114.98474425925731,51.871018732495976,56.040714829739215,23.487705018106315,7.878026091791588,65.62999725341797,113.97349398704269,51.5060008801447,55.47255083637815,23.176074785200814,7.73064787664517,64.0199966430664,114.75869594797635,51.68850980632034,55.887402647553564,23.435767431709895,7.871326936815255,64.70999908447266,3166137,455700,1041600,4050133,5788500,582400,WHR
2013-01-09,114.40180969238281,52.1980094909668,56.05873107910156,23.274173736572266,7.790942668914795,65.43000030517578,115.09778493368124,52.494588628836226,56.21204664389125,23.52809335754906,7.837835498136684,65.62999725341797,114.0032604982047,52.02310682086601,55.64388286423048,23.158755084147536,7.744049839692907,64.44999694824219,115.09183204538857,52.02310682086601,55.71602873451444,23.34342304221696,7.804340346320957,64.44999694824219,3359752,351800,790000,3814133,3759200,429000,WHR
2013-01-10,114.73487854003906,52.509796142578125,56.28419494628906,23.089500427246094,7.86462926864624,65.18000030517578,114.7824636503243,52.57823479786208,56.62689730568481,23.389589356090667,7.884726737374664,66.33000183105469,113.78311936891899,51.90903169372362,55.71603114207719,22.812496168798162,7.784241310332654,63.77000045776367,114.59806660085107,52.494583684613175,56.35634425995917,23.37227526397759,7.831134126298904,65.80000305175781,3774073,287800,1072600,4166849,2728100,414600,WHR
2013-01-11,115.6688232421875,52.190399169921875,56.47358703613281,23.147207260131836,7.824433326721191,66.2300033569336,115.99598518802969,52.737931628251616,56.59984490664023,23.16452135126712,7.844530150721146,66.44999694824219,114.74679981700048,52.129566742659684,56.08579303942063,22.881744173242772,7.6904527964107885,64.9000015258789,115.49036954550303,52.737931628251616,56.17597968997518,23.16452135126712,7.730647083277213,65.26000213623047,4058898,310900,827700,1929981,5238700,262800,WHR
2013-01-14,114.58027648925781,52.5021858215332,56.5276985168457,23.56271743774414,7.86462926864624,68.95999908447266,114.97288233415817,52.53260493323944,56.69003104611144,23.56271743774414,7.864629268646241,69.30999755859375,114.06275491836224,51.89381519111313,56.18499612836592,23.15298042704742,7.7708436367137415,65.91000366210938,114.69924882052223,52.12195562798374,56.27518277810739,23.15298042704742,7.824435608922799,66.12000274658203,4364121,201500,1063800,3695061,2964300,780600,WHR
2013-01-15,114.50885772705078,52.8063850402832,56.771202087402344,23.545408248901367,7.86462926864624,68.51000213623047,114.64566968769104,52.905242827967776,57.05979251031888,23.6146575568901,7.945017226959827,68.9000015258789,113.25371954546569,52.182807590752724,56.15794657863741,23.089504202802285,7.811037296437184,66.83999633789062,113.80097688226407,52.20562048007579,56.36537073009184,23.389593180716897,7.811037296437184,68.31999969482422,4364017,286800,1503300,3493326,3775900,646800,WHR
2013-01-16,114.56243896484375,52.821590423583984,56.771202087402344,23.424224853515625,7.824433326721191,68.5999984741211,114.9134031053501,52.8824286615455,57.168013058845276,23.52810238774537,7.8646269747211,69.0,113.824831323337,52.403340591769435,56.203038187167635,23.320349676549462,7.730647083277213,68.33000183105469,114.21148431857914,52.403340591769435,56.63592382154244,23.40114252852918,7.837830996432323,68.7300033569336,3099193,250100,1174500,2018000,3318300,274100,WHR
2013-01-17,115.19293212890625,53.29307174682617,57.39346694946289,24.03016471862793,7.998607635498047,68.12000274658203,115.67475516332281,53.43755529253833,57.48365359486221,24.35333836435935,8.038801926230493,68.83999633789062,114.94903467415585,52.98888639493513,56.626899385046826,23.505011374866275,7.824434079301652,67.87000274658203,115.31189491873934,53.09535039781904,56.85236083814199,23.568490102379652,7.884725195967032,68.76000213623047,4060154,238300,1212600,5224569,4685900,318500,WHR
